spore,metric,unit,paper_metrics
0,curtailment,percentage,0.6086570601957626
0,electricity_production_gini,fraction,0.6514318615611546
0,average_national_import,twh,30.103058593681897
0,fuel_autarky_gini,fraction,0.8103447013470505
0,storage_discharge_capacity,tw,1.2557369108090612
0,transport_electrification,percentage,100.0
0,heat_electrification,percentage,98.46999118861096
0,ev_flexibility,fraction,0.8652500977928402
0,biofuel_utilisation,percentage,85.79323891331298
1,curtailment,percentage,2.590369013830162
1,electricity_production_gini,fraction,0.6773275861020172
1,average_national_import,twh,30.12293040854517
1,fuel_autarky_gini,fraction,0.9369960601674509
1,storage_discharge_capacity,tw,1.2777744780201434
1,transport_electrification,percentage,60.70533792366925
1,heat_electrification,percentage,92.0690231355447
1,ev_flexibility,fraction,0.7669438728338936
1,biofuel_utilisation,percentage,99.94445311170306
2,curtailment,percentage,3.099465254475199
2,electricity_production_gini,fraction,0.5950398611052689
2,average_national_import,twh,22.31211898495068
2,fuel_autarky_gini,fraction,0.763132768380114
2,storage_discharge_capacity,tw,7.699764808241547
2,transport_electrification,percentage,99.797164929746
2,heat_electrification,percentage,71.04978761130583
2,ev_flexibility,fraction,0.9028644646791976
2,biofuel_utilisation,percentage,80.94558478084075
3,curtailment,percentage,3.0886387484848123
3,electricity_production_gini,fraction,0.5978391678443532
3,average_national_import,twh,22.14832961259506
3,fuel_autarky_gini,fraction,0.7289829804358363
3,storage_discharge_capacity,tw,7.949169874814663
3,transport_electrification,percentage,98.73699917474056
3,heat_electrification,percentage,70.95988476263982
3,ev_flexibility,fraction,0.903852989151136
3,biofuel_utilisation,percentage,81.4145730258366
4,curtailment,percentage,1.6815911697540973
4,electricity_production_gini,fraction,0.6554894800413641
4,average_national_import,twh,39.87004428995187
4,fuel_autarky_gini,fraction,0.8234342055883347
4,storage_discharge_capacity,tw,0.5098808782697412
4,transport_electrification,percentage,99.99999999999996
4,heat_electrification,percentage,5.467956185087495
4,ev_flexibility,fraction,0.907790710959098
4,biofuel_utilisation,percentage,99.9348518815964
5,curtailment,percentage,0.621224238690192
5,electricity_production_gini,fraction,0.665062749137777
5,average_national_import,twh,30.087574901130942
5,fuel_autarky_gini,fraction,0.97508453294788
5,storage_discharge_capacity,tw,1.8351384929082148
5,transport_electrification,percentage,100.0
5,heat_electrification,percentage,94.04738124778488
5,ev_flexibility,fraction,0.843959287572616
5,biofuel_utilisation,percentage,32.07767617946302
6,curtailment,percentage,1.000641595494845
6,electricity_production_gini,fraction,0.6701359522495819
6,average_national_import,twh,16.473839748733308
6,fuel_autarky_gini,fraction,0.9683245860765396
6,storage_discharge_capacity,tw,3.9805851278150666
6,transport_electrification,percentage,99.99999999999996
6,heat_electrification,percentage,57.17921352226293
6,ev_flexibility,fraction,0.8496984160214432
6,biofuel_utilisation,percentage,99.91184365597393
7,curtailment,percentage,0.4363475810798977
7,electricity_production_gini,fraction,0.6713048227789236
7,average_national_import,twh,29.867041252917293
7,fuel_autarky_gini,fraction,0.908580099132416
7,storage_discharge_capacity,tw,2.2413321528755943
7,transport_electrification,percentage,100.00000000000004
